6456;TU AMISTAD ME HACE BIEN;ALEX CAMPOS;BALADA
6463;TU POETA;ALEX CAMPOS;CRISTIANA
6538;AMIGOS;ALEX CAMPOS;CRISTIANA
6595;COMO EL COLOR DE LA SANGRE;ALEX CAMPOS;CRISTIANA
6664;EL SONIDO DEL SILENCIO;ALEX CAMPOS;CRISTIANA
6860;PREFIERO;ALEX CAMPOS;CRISTIANA
6917;SUE�O DE MORIR;ALEX CAMPOS;CRISTIANA
6926;TAN LEJOS TAN CERCA;ALEX CAMPOS;CRISTIANA
7006;AL TALLER DEL MAESTRO;ALEX CAMPOS;BALADA
7010;AMIGOS;ALEX CAMPOS;BALADA
7044;TAN LEJOS TAN CERCA;ALEX CAMPOS;POP
7060;COMO EL COLOR DE LA SANGRE;ALEX CAMPOS;BALADA
7074;EL SONIDO DEL SILENCIO;ALEX CAMPOS;BALADA
7082;FRUTA PROHIBIDA;ALEX CAMPOS;BALADA
7126;SUE�O DE MORIR;ALEX CAMPOS;BALADA
7134;TU POETA;ALEX CAMPOS;BALADA
7169;DIJE ADIOS;ALEX CAMPOS;BALADA  GOSPEL
7186;ME ROBASTE EL CORAZON;ALEX CAMPOS;BALADA  GOSPEL
7193;PREFIERO;ALEX CAMPOS;BALADA  GOSPEL
7196;TE VENGO A DECIR;ALEX CAMPOS;BALADA  GOSPEL
1539;ESE SILENCIO;ALEX IBARRA;BALADA
4541;SI ME PUDIERAS QUERER;ALEX IBARRA;BALADA
904;SIN MIEDO A NADA;ALEX UBAGO;BALADA
1529;QUE PIDES TU;ALEX UBAGO;BALADA
1640;A GRITOS DE ESPERANZA;ALEX UBAGO;BALADA
2803;AUNQUE NO TE PUEDA VER;ALEX UBAGO;BALADA
3677;ME ARREPIENTO;ALEX UBAGO;BALADA
4049;VIAJAR CONTIGO;ALEX UBAGO;BALADA
5228;SIEMPRE EN MI MENTE;ALEX UBAGO;BALADA
5863;DAME TU AIRE;ALEX UBAGO;BALADA INGLES
5910;ELLA VIVE EN MI;ALEX UBAGO;BALADA
5941;SABES;ALEX UBAGO;BALADA
4419;ESTAR CONTIGO;ALEX UBAGO & JORGE & LENA;BALADA
6310;LO QUE CONSUMO;ALEX ZURDO & FUNKY & JONNY L & SAMMY;CRISTIANA
7094;LO QUE CONSUMO;ALEX ZURDO AND FUNKY AND JONYY AND SAMMY;BALADA
3930;MUJERES;ALEXANDER ACHA;BALADA
929;USTED SE ME LLEVO LA VIDA;ALEXANDER PIRES;BALADA
1220;AMAME;ALEXANDER PIRES;BALADA
1609;ES POR AMOR;ALEXANDER PIRES;BALADA
2058;CUANDO ACABA EL PLACER;ALEXANDER PIRES;BALADA
3310;BESAR ESA BOCA;ALEXANDER PIRES;BALADA
5770;EN EL SILENCIO NEGRO DE LA NOCHE;ALEXANDRE PIRES;BALADA
5789;QUITEMONOS LA ROPA;ALEXANDRE PIRES;POP
3191;SOY IGUAL QUE TU;ALEXIS & FIDO;REGGAETON
5322;ROMPE LA CINTURA;ALEXIS & FIDO;REGGAETON
5715;DONDE ESTES LLEGARE;ALEXIS & FIDO;REGGAETON
5851;5 LETRAS;ALEXIS & FIDO;REGGAETON
5884;LA EX;ALEXIS & FIDO;REGGAETON
5990;SUBETE;ALEXIS & FIDO;REGGAETON
6014;ESO EH;ALEXIS & FIDO;REGGAETON
5909;EL TIBURON;ALEXIS & FIDO & BABY RANKS;REGGAETON
4658;CONTESTAME EL TELEFONO;ALEXIS & FITO FEAT FLEX;REGGAETON
6967;UNA EN UN MILLON;ALEXIS Y FIDO;REGGAETON
5341;TU IMAGEN SE QUEDA;ALFONSO LARADA;BALADA
3141;SOY GITANO;ALFONSO PAHINO;BALADA
3539;SOLO UN AMOR EN TU VIDA;ALFONSO PAHINO;BALADA
368;CHULLA QUITE�O;ALFREDO CARPIO;PASACALLE
3054;ANHELOS;ALFREDO GUTIERREZ;VALLENATO
4812;DOS MUJERES;ALFREDO GUTIERREZ;CUMBIA
5207;NO ONE;ALICIA KEYS;POP
5551;A WOMAN'S WORTH;ALICIA KEYS;POP
5622;IF I AIN'T GOT YOU;ALICIA KEYS;POP
5725;JANE DOE;ALICIA KEYS;POP
5773;IF I WAS YOUR WOMAN;ALICIA KEYS;POP
5914;HOW COME YOU DON'T CALL ME;ALICIA KEYS;POP
5972;FALLING;ALICIA KEYS;POP
5724;INSENSIBLE A TI;ALICIA VILLAREAL;RANCHERA
4902;ACOMPA�AME;ALICIA VILLAREAL & PEDRO FERNANDEZ;RANCHERA
2318;EL LADRON;ALICIA VILLARREAL;CUMBIA
2487;SOY ASI;ALICIA VILLARREAL;POP
5930;NOS PODEMOS ESCAPAR;ALIX BAUER;BALADA
5890;MONA LISA;ALKILADOS;POP
6966;UNA CITA;ALKILADOS;REGGAETON
7288;UNA CITA;ALKILADOS;REGGAETON
4804;ATREVETE A MIRARME DE FRENTE;ALMA BELLA;CUMBIA
2503;ANTOLOGIA DE CARICIAS;ALTAMIRA BANDA SHOW;BACHATA
6282;LA CULPABLE;ALVARO DAVILA;BALADA
6658;EL MISMO SOL;ALVARO SOLER;POP
7340;SOFIA;ALVARO SOLER;BAILABLE
1535;DE PUNTA A PUNTA;ALVARO TORRES;BALADA
1607;PENELOPE;ALVARO TORRES;BALADA
3220;HAZME OLVIDARLA;ALVARO TORRES;RANCHERA
3378;NADA SE COMPARA CONTIGO;ALVARO TORRES;BALADA
5866;DE QUE ME SIRVE QUERERTE;ALVARO TORRES;BALADA
5873;EL ULTIMO ROMANTICO;ALVARO TORRES;BALADA
